metric,logistic_regression,xgboost,absolute_difference_xgboost_minus_logistic
pr_auc,0.3936678400405687,0.5392804315626084,0.1456125915220397
roc_auc,0.8420599047910746,0.9113472864521642,0.06928738166108961
precision_at_reference_threshold,0.11121103117505995,0.2549278846153846,0.14371685344032467
recall_at_reference_threshold,0.7317554240631163,0.6972386587771203,-0.03451676528599601
f1_at_reference_threshold,0.1930783242258652,0.37334976236578066,0.18027143813991545
precision_at_k,0.711,0.864,0.15300000000000002
recall_at_k,0.23372781065088757,0.28402366863905326,0.05029585798816569
captured_fraud_count_at_k,711.0,864.0,153.0
total_fraud_count,3042.0,3042.0,0.0
prediction_latency_ms_per_row,0.04896460527629349,0.0033537248396315047,-0.045610880436661984
training_time_seconds,205.5714324999717,660.8318702999968,455.2604378000251
