rank,transformed_feature,mean_absolute_shap_value
1,amount_global_24h_zscore,0.16921555393454954
2,C1,0.16920643959827833
3,amount_global_168h_zscore,0.15834594978533736
4,C13,0.1555735237672492
5,card1,0.14894930174980509
6,C5,0.13031776976614867
7,V70,0.13012690522056494
8,D1,0.1296119417135079
9,card6_target_encoded,0.12740365228185546
10,C14,0.12673875495331843
11,TransactionAmt,0.11132152429821728
12,amount_card1_168h_mean,0.10834777884892423
13,C2,0.1055686626453063
14,amount_global_1h_zscore,0.10357399235680864
15,V294,0.10192097116002583
16,history_addr1_transaction_count,0.09757579062283002
17,amount_global_168h_mean,0.09693167468333388
18,D4,0.09578352071235181
19,history_card1_transaction_count,0.09443954913165284
20,ProductCD_target_encoded,0.08453492634257914
21,velocity_global_60min,0.07870640994355994
22,card5,0.0776054306647085
23,V91,0.07143291012991193
24,velocity_global_1440min,0.07063681490935005
25,history_R_emaildomain_transaction_count,0.07061233725133362
26,history_DeviceInfo_transaction_count,0.0666078461894981
27,card2,0.06416041402601994
28,card4_target_encoded,0.06396660249014292
29,addr1,0.06393972333138398
30,amount_global_24h_std,0.06286806928385012
31,amount_card1_24h_std,0.062229331014013525
32,C11,0.05697189998363867
33,D15,0.05665136108200662
34,amount_global_1h_std,0.0564488902047313
35,P_emaildomain_target_encoded,0.05416330297178098
36,amount_card1_24h_zscore,0.054011058445251274
37,amount_global_24h_mean,0.05352812872712745
38,V30,0.051970615117317695
39,D10,0.04866867191264348
40,D3,0.04790586549623274
41,amount_card1_168h_zscore,0.04731703526724777
42,amount_global_168h_std,0.04481014209592368
43,amount_card1_24h_mean,0.04270004687701001
44,amount_card1_168h_std,0.040142071973268904
45,amount_global_1h_mean,0.03989214372977658
46,id_02,0.03960556629909093
47,D2,0.03908086835760851
48,dist1,0.03860231213640837
49,velocity_card1_1440min,0.03819520555861792
50,V258,0.03643126376237161
51,C6,0.035345815859180084
52,recency_card1_seconds,0.03308552775401153
53,V12,0.03188326684755337
54,missingindicator_V169,0.031154100571205896
55,V69,0.030410139880469703
56,velocity_global_5min,0.030377084922921203
57,V48,0.03026467283657145
58,V29,0.03020886633179523
59,C9,0.029844549125462413
60,card3,0.028802181111605905
61,missingindicator_id_17,0.028214495688858695
62,D13,0.02799489385405356
63,V303,0.027595854710164302
64,V76,0.027419505113843463
65,id_17,0.027415343162622625
66,V308,0.026226975126645707
67,V310,0.02527235014491537
68,V45,0.024523007172535694
69,D11,0.023516530188097556
70,missingindicator_amount_card1_1h_zscore,0.02327897332817565
71,D8,0.023057200890005392
72,V83,0.022830987906652923
73,V285,0.0224148831575706
74,missingindicator_id_05,0.02127906389102134
75,V317,0.019458125225912372
76,C10,0.01927283591764632
77,missingindicator_id_18,0.018843193791014887
78,id_20,0.018803133122006266
79,V102,0.018628956776038087
80,recency_global_seconds,0.0183931265513063
81,V283,0.01758847856041357
82,V127,0.017429608205871798
83,V312,0.017344181515923623
84,amount_card1_1h_std,0.017085573842271558
85,V49,0.017009357626932505
86,D6,0.016951199307858867
87,D5,0.01613952776734676
88,R_emaildomain_target_encoded,0.016029702390173237
89,V2,0.01581939619325753
90,V20,0.015585250199423235
91,V82,0.015308907371617749
92,V316,0.015073640716159053
93,V221,0.015000117601375425
94,id_19,0.014381969757417994
95,V38,0.014198720805508795
96,V288,0.014021536190098119
97,missingindicator_id_03,0.013166463580556472
98,V309,0.013123924695989737
99,V19,0.01281648538436233
100,V53,0.01231185637915149
101,V165,0.01216693472691867
102,C8,0.012119011892772705
103,V52,0.011806127104632951
104,C3,0.0112098696733974
105,V55,0.011203540421347592
106,D9,0.011059036130659027
107,V139,0.010971805317571024
108,missingindicator_D3,0.010676241989130657
109,amount_card1_1h_mean,0.010552504153281178
110,V33,0.010478666515527537
111,V152,0.010154226055119722
112,V75,0.010031802166458848
113,V13,0.010018993787607072
114,V133,0.009932152846402299
115,V293,0.009213899797174664
116,missingindicator_amount_card1_24h_zscore,0.00914399569959491
117,V282,0.00886883429299273
118,V34,0.00875042136436113
119,V187,0.008691650944316945
120,missingindicator_D14,0.008307089704220864
121,V307,0.008031517947717693
122,velocity_card1_60min,0.007845218222155673
123,V130,0.007840596324371838
124,amount_card1_1h_zscore,0.007813171814247056
125,missingindicator_id_13,0.007609338073356139
126,V321,0.007608389833479514
127,V96,0.007350702733109419
128,id_14,0.007304441125161006
129,velocity_card1_5min,0.006846058652179859
130,V54,0.0064852210692111995
131,V11,0.006465752517319485
132,V36,0.006420953649243415
133,V313,0.00637898244650939
134,missingindicator_D8,0.0060296098113866575
135,V203,0.00599934995139517
136,id_01,0.005970087584015653
137,D12,0.005962445498634256
138,V136,0.005924795327515085
139,id_06,0.005864188042094645
140,missingindicator_D2,0.005834850206806206
141,V90,0.005632985504426819
142,V315,0.005618162814760174
143,V10,0.005382592550058232
144,V95,0.00534885316166518
145,V105,0.005078099409583389
146,V264,0.005068325258968336
147,V131,0.004992447626969976
148,V126,0.00498964678517857
149,C4,0.004977136237973187
150,V281,0.004883118460502809
151,V291,0.004731243044586595
152,V23,0.004679254077141261
153,V314,0.0046097498952407615
154,V279,0.004558187643863299
155,V56,0.004521982676231371
156,C12,0.004503121893091268
157,V99,0.004491667788171904
158,V86,0.004350970372640297
159,V318,0.004327260581783363
160,V160,0.004106990064277964
161,V62,0.004029228583953752
162,V63,0.003974987541056734
163,id_13,0.0039049526584819297
164,id_05,0.003741737319197494
165,missingindicator_D5,0.003703219871571707
166,V4,0.0036960336305500263
167,id_18,0.0035152151562068573
168,V24,0.003483420023368033
169,V61,0.0032847852417224096
170,missingindicator_V53,0.0032664227005090025
171,V137,0.0032137160900399314
172,V35,0.0031829927813310614
173,V87,0.0031006996617476547
174,V73,0.003057939325457234
175,V296,0.003046137576438894
176,V323,0.0030372559033802248
177,V71,0.002990768761410539
178,V81,0.002934225850498907
179,V230,0.0028966128065555465
180,V290,0.002714983564379543
181,V64,0.0026013668717921245
182,V332,0.0025169023763815914
183,id_03,0.0024915615997787794
184,V143,0.002477023054068965
185,V289,0.0024356761514138458
186,V5,0.0023576914047494135
187,V150,0.0023379188349822106
188,V339,0.0022623400821189417
189,V44,0.0022186308415836366
190,V311,0.0021941978421909187
191,V189,0.0021740623664169524
192,V124,0.002170379006651698
193,V60,0.002121580612361693
194,V319,0.0021034633335881093
195,V57,0.002093192280627157
196,V7,0.0020105190287298086
197,V77,0.001952578250932084
198,V67,0.001951325499505461
199,V306,0.001932314384460041
200,D7,0.0019178376867955318
201,V218,0.0018936303274682664
202,V320,0.0018610796537158604
203,id_09,0.0018238128384216105
204,V257,0.0018163076589532432
205,missingindicator_D15,0.00171583441132924
206,V156,0.0016981428216642244
207,V184,0.0016752628516275322
208,id_11,0.001673422496122724
209,missingindicator_amount_card1_168h_std,0.0016425318291306613
210,V201,0.001638361373372256
211,V287,0.0016309389973534808
212,V159,0.0015901614190936128
213,V164,0.0015877717934758464
214,missingindicator_amount_card1_168h_zscore,0.0015301095556600488
215,V259,0.001517431582048535
216,missingindicator_is_new_DeviceInfo,0.0015120713689289187
217,V94,0.0014999276691081494
218,V145,0.0014525675685282335
219,missingindicator_dist2,0.0014364885460193043
220,V37,0.0013713860340027794
221,V72,0.0013588663217177367
222,V261,0.0013294365697299213
223,dist2,0.0013280175597438367
224,missingindicator_history_DeviceInfo_transaction_count,0.0013266767839247497
225,V169,0.0013258550201449546
226,V151,0.0013230478999272498
227,V217,0.0013129928604897546
228,V59,0.0012964612496692248
229,V224,0.0012345699672116973
230,V128,0.0012324191228013932
231,V280,0.0011407212928385684
232,V286,0.001125451299578243
233,V337,0.0011244049570715022
234,V43,0.0010969804090202946
235,V223,0.001087053789332133
236,V42,0.0010546889900256483
237,V129,0.0010307487724050676
238,V333,0.0010281787334110166
239,V222,0.001024311139201122
240,V273,0.0010182424340059429
241,V149,0.0010151222325856814
242,V276,0.0009527917425143527
243,V144,0.0009518690799004459
244,V215,0.0008929602062447009
245,V78,0.0008643836189862337
246,V177,0.0008570082754396152
247,V266,0.0008450447299109114
248,V66,0.00084341471836809
