chronological_decile,transaction_count,fraud_count,fraud_rate,reviewed_count,captured_fraud_count,missed_fraud_count,unnecessary_review_count,mean_raw_score,start_timestamp,end_timestamp,fraud_capture_rate
time_period_1,8859,271,0.030590360085788464,98,94,177,4,0.18140468,13151880,13374194,0.34686346863468637
time_period_2,8858,258,0.02912621359223301,76,71,187,5,0.20318224,13374202,13639874,0.2751937984496124
time_period_3,8858,269,0.03036802890042899,75,65,204,10,0.19638805,13639884,13902289,0.241635687732342
time_period_4,8858,303,0.03420636712576202,163,126,177,37,0.22161178,13902294,14159459,0.4158415841584158
time_period_5,8858,249,0.028110182885527208,46,36,213,10,0.19096877,14159491,14417365,0.14457831325301204
time_period_6,8858,347,0.039173628358545945,81,77,270,4,0.20502378,14417374,14672633,0.2219020172910663
time_period_7,8857,285,0.032177938353844415,85,73,212,12,0.17897952,14672642,14939369,0.256140350877193
time_period_8,8859,354,0.03995936335929563,133,118,236,15,0.20788537,14939471,15207450,0.3333333333333333
time_period_9,8858,390,0.044027997290584785,135,125,265,10,0.21036428,15207464,15533801,0.32051282051282054
time_period_10,8858,357,0.040302551365996836,108,85,272,23,0.20616135,15533993,15811131,0.23809523809523808
