score_decile,transaction_count,fraud_count,fraud_rate,reviewed_count,captured_fraud_count,mean_raw_score,minimum_raw_score,maximum_raw_score
score_decile_1,8859,19,0.0021447115927305566,0,0,0.01605742,0.00021116232,0.027524617
score_decile_2,8858,29,0.0032738767216075864,0,0,0.037361056,0.027527437,0.0473
score_decile_3,8858,31,0.0034996613230977645,0,0,0.057616144,0.04730001,0.068452716
score_decile_4,8858,27,0.003048092120117408,0,0,0.0806319,0.06845942,0.093765706
score_decile_5,8858,58,0.006547753443215173,0,0,0.108596265,0.09377215,0.12446683
score_decile_6,8858,65,0.007337999548430797,0,0,0.14337644,0.124468155,0.16388108
score_decile_7,8857,109,0.012306650107259795,0,0,0.18973203,0.16388898,0.21934162
score_decile_8,8859,214,0.024156225307596795,0,0,0.26085612,0.21934378,0.31225216
score_decile_9,8858,443,0.05001128923007451,0,0,0.39501572,0.31225577,0.5023865
score_decile_10,8858,2088,0.2357191239557462,1000,870,0.7127406,0.5024046,0.9996904
