method,bin_number,mean_predicted_probability,observed_fraud_rate,bin_count,absolute_calibration_gap
uncalibrated,1,0.020390633709450687,0.0009029345372460496,4430,0.019487699172204637
uncalibrated,2,0.04060056026571624,0.0020320614134116052,4429,0.038568498852304636
uncalibrated,3,0.05963577393364169,0.002935199819372319,4429,0.05670057411426937
uncalibrated,4,0.0812000258293505,0.0033867690223526757,4429,0.07781325680699783
uncalibrated,5,0.10710908456220398,0.006773538044705351,4429,0.10033554651749864
uncalibrated,6,0.1395628008109152,0.008128245653646421,4429,0.1314345551572688
uncalibrated,7,0.1833014090216526,0.013550135501355014,4429,0.1697512735202976
uncalibrated,8,0.24968766846250465,0.023927765237020317,4429,0.22575990322548434
uncalibrated,9,0.3736519339553495,0.04673741250846692,4429,0.3269145214468826
uncalibrated,10,0.6839211165743505,0.21878527884398283,4429,0.4651358377303677
sigmoid,1,0.0006436298388296426,0.0009029345372460496,4430,0.000259304698416407
sigmoid,2,0.001484523510242012,0.0020320614134116052,4429,0.0005475379031695932
sigmoid,3,0.0024101925388906945,0.002935199819372319,4429,0.0005250072804816245
sigmoid,4,0.0035877185300309438,0.0033867690223526757,4429,0.0002009495076782681
sigmoid,5,0.005174309300146759,0.006773538044705351,4429,0.0015992287445585921
sigmoid,6,0.007424008001508729,0.008128245653646421,4429,0.0007042376521376919
sigmoid,7,0.01094512371368399,0.013550135501355014,4429,0.0026050117876710247
sigmoid,8,0.017532883562972487,0.023927765237020317,4429,0.0063948816740478295
sigmoid,9,0.035398307018355786,0.04673741250846692,4429,0.011339105490111134
sigmoid,10,0.23180002428441987,0.21878527884398283,4429,0.013014745440437042
isotonic,1,0.00047797899964361034,0.0009493670886075949,6320,0.00047138808896398456
isotonic,2,0.0017285231580943753,0.002730251183108846,5494,0.0010017280250144709
isotonic,3,0.0036179272956994245,0.004507107361608691,8653,0.0008891800659092662
isotonic,4,0.004251442453689689,0.007104290991759022,3519,0.002852848538069333
isotonic,5,0.006995617652805093,0.009704251386321626,4328,0.0027086337335165333
isotonic,6,0.014171955553655283,0.01849383538820393,6002,0.004321879834548648
isotonic,7,0.028886207678661346,0.037267080745341616,2415,0.00838087306668027
isotonic,8,0.041450063526704974,0.051258720048528966,3297,0.009808656521823993
isotonic,9,0.2399977792563447,0.2233169129720854,4263,0.0166808662842593
